ticker,original
NVDA,NasdaqGS:NVDA
MSFT,NasdaqGS:MSFT
AAPL,NasdaqGS:AAPL
GOOGL,NasdaqGS:GOOGL
AMZN,NasdaqGS:AMZN
VTI,ARCA:VTI
VOO,ARCA:VOO
META,NasdaqGS:META
AVGO,NasdaqGS:AVGO
TSLA,NasdaqGS:TSLA
BRK.A,NYSE:BRK.A
JPM,NYSE:JPM
WMT,NYSE:WMT
ORCL,NYSE:ORCL
LLY,NYSE:LLY
IVV,ARCA:IVV
SPY,ARCA:SPY
V,NYSE:V
MA,NYSE:MA
NFLX,NasdaqGS:NFLX
XOM,NYSE:XOM
JNJ,NYSE:JNJ
ABBV,NYSE:ABBV
PLTR,NasdaqGS:PLTR
COST,NasdaqGS:COST
HD,NYSE:HD
QQQ,NasdaqGM:QQQ
BAC,NYSE:BAC
PG,NYSE:PG
VUG,ARCA:VUG
UNH,NYSE:UNH
GE,NYSE:GE
CVX,NYSE:CVX
VO,ARCA:VO
KO,NYSE:KO
IBM,NYSE:IBM
CSCO,NasdaqGS:CSCO
AMD,NasdaqGS:AMD
TMUS,NasdaqGS:TMUS
WFC,NYSE:WFC
MS,NYSE:MS
GS,NYSE:GS
PM,NYSE:PM
ABT,NYSE:ABT
CAT,NYSE:CAT
APP,NasdaqGS:APP
AXP,NYSE:AXP
CRM,NYSE:CRM
RTX,NYSE:RTX
MRK,NYSE:MRK
LIN,NasdaqGS:LIN
MCD,NYSE:MCD
MU,NasdaqGS:MU
SHOP,NasdaqGS:SHOP
VTV,ARCA:VTV
RY.TO,TSX:RY
TMO,NYSE:TMO
DIS,NYSE:DIS
UBER,NYSE:UBER
PEP,NasdaqGS:PEP
T,NYSE:T
INTU,NasdaqGS:INTU
NOW,NYSE:NOW
VZ,NYSE:VZ
LRCX,NasdaqGS:LRCX
ANET,NYSE:ANET
VEA,ARCA:VEA
QCOM,NasdaqGS:QCOM
C,NYSE:C
BLK,NYSE:BLK
BKNG,NasdaqGS:BKNG
AMAT,NasdaqGS:AMAT
INTC,NasdaqGS:INTC
SCHW,NYSE:SCHW
VB,ARCA:VB
NEE,NYSE:NEE
TXN,NasdaqGS:TXN
BA,NYSE:BA
ISRG,NasdaqGS:ISRG
GEV,NYSE:GEV
AMGN,NasdaqGS:AMGN
IEFA,BATS:IEFA
TJX,NYSE:TJX
PFE,NYSE:PFE
DHR,NYSE:DHR
ACN,NYSE:ACN
APH,NYSE:APH
SPGI,NYSE:SPGI
ETN,NYSE:ETN
ADBE,NasdaqGS:ADBE
KLAC,NasdaqGS:KLAC
BSX,NYSE:BSX
PGR,NYSE:PGR
SYK,NYSE:SYK
UNP,NYSE:UNP
SPOT,NYSE:SPOT
GILD,NasdaqGS:GILD
BND,NasdaqGM:BND
TD.TO,TSX:TD
PANW,NasdaqGS:PANW
LOW,NYSE:LOW
COF,NYSE:COF
VWO,ARCA:VWO
HON,NasdaqGS:HON
HOOD,NasdaqGS:HOOD
AGG,ARCA:AGG
BX,NYSE:BX
MDT,NYSE:MDT
DE,NYSE:DE
CRWD,NasdaqGS:CRWD
IWF,ARCA:IWF
GLD,ARCA:GLD
ADI,NasdaqGS:ADI
ADP,NasdaqGS:ADP
LMT,NYSE:LMT
COP,NYSE:COP
WELL,NYSE:WELL
VXF,ARCA:VXF
DASH,NasdaqGS:DASH
CMCSA,NasdaqGS:CMCSA
KKR,NYSE:KKR
CB,NYSE:CB
CEG,NasdaqGS:CEG
IEMG,ARCA:IEMG
VGT,ARCA:VGT
MO,NYSE:MO
MELI,NasdaqGS:MELI
ENB.TO,TSX:ENB
PLD,NYSE:PLD
VXUS,NasdaqGM:VXUS
NKE,NYSE:NKE
BN.TO,TSX:BN
SCCO,NYSE:SCCO
SO,NYSE:SO
VRTX,NasdaqGS:VRTX
MSTR,NasdaqGS:MSTR
IJH,ARCA:IJH
HCA,NYSE:HCA
MMC,NYSE:MMC
VIG,ARCA:VIG
CVS,NYSE:CVS
SBUX,NasdaqGS:SBUX
COIN,NasdaqGS:COIN
PH,NYSE:PH
DUK,NYSE:DUK
CME,NasdaqGS:CME
NEM,NYSE:NEM
IBIT,NasdaqGM:IBIT
CDNS,NasdaqGS:CDNS
TT,NYSE:TT
DELL,NYSE:DELL
BAM.TO,TSX:BAM
ICE,NYSE:ICE
BMY,NYSE:BMY
BMO.TO,TSX:BMO
GD,NYSE:GD
MCK,NYSE:MCK
XLK,ARCA:XLK
AMT,NYSE:AMT
ORLY,NasdaqGS:ORLY
WM,NYSE:WM
SPLG,ARCA:SPLG
NOC,NYSE:NOC
SNPS,NasdaqGS:SNPS
MCO,NYSE:MCO
IJR,ARCA:IJR
SHW,NYSE:SHW
RCL,NYSE:RCL
AEM,NYSE:AEM
RBLX,NYSE:RBLX
MMM,NYSE:MMM
CI,NYSE:CI
CTAS,NasdaqGS:CTAS
MDLZ,NasdaqGS:MDLZ
BNS.TO,TSX:BNS
CRH,NYSE:CRH
SNOW,NYSE:SNOW
AJG,NYSE:AJG
ELV,NYSE:ELV
WMB,NYSE:WMB
ECL,NYSE:ECL
AON,NYSE:AON
ITOT,ARCA:ITOT
PNC,NYSE:PNC
HWM,NYSE:HWM
EQIX,NasdaqGS:EQIX
EMR,NYSE:EMR
ITW,NYSE:ITW
CM.TO,TSX:CM
NET,NYSE:NET
MSI,NYSE:MSI
BK,NYSE:BK
USB,NYSE:USB
RSP,ARCA:RSP
MRVL,NasdaqGS:MRVL
NU,NYSE:NU
ABNB,NasdaqGS:ABNB
UPS,NYSE:UPS
MAR,NasdaqGS:MAR
TDG,NYSE:TDG
APO,NYSE:APO
SCHD,ARCA:SCHD
GLW,NYSE:GLW
CP.TO,TSX:CP
IWM,ARCA:IWM
JCI,NYSE:JCI
FNMA,OTCPK:FNMA
BNDX,NasdaqGM:BNDX
AZO,NYSE:AZO
RSG,NYSE:RSG
CRWV,NasdaqGS:CRWV
VEU,ARCA:VEU
FI,NYSE:FI
TRI.TO,TSX:TRI
EFA,ARCA:EFA
VST,NYSE:VST
ADSK,NasdaqGS:ADSK
NSC,NYSE:NSC
CSX,NasdaqGS:CSX
CNQ.TO,TSX:CNQ
VNQ,ARCA:VNQ
VV,ARCA:VV
VYM,ARCA:VYM
PYPL,NasdaqGS:PYPL
IVW,ARCA:IVW
FTNT,NasdaqGS:FTNT
MNST,NasdaqGS:MNST
TEL,NYSE:TEL
ZTS,NYSE:ZTS
IWD,ARCA:IWD
TRV,NYSE:TRV
QQQM,NasdaqGM:QQQM
KMI,NYSE:KMI
WDAY,NasdaqGS:WDAY
URI,NYSE:URI
CL,NYSE:CL
PWR,NYSE:PWR
REGN,NasdaqGS:REGN
SCHX,ARCA:SCHX
CSU.TO,TSX:CSU
VRT,NYSE:VRT
AEP,NasdaqGS:AEP
HLT,NYSE:HLT
EOG,NYSE:EOG
SPG,NYSE:SPG
APD,NYSE:APD
VBR,ARCA:VBR
CNR.TO,TSX:CNR
DLR,NYSE:DLR
IAU,ARCA:IAU
AFL,NYSE:AFL
ALNY,NasdaqGS:ALNY
SRE,NYSE:SRE
CMI,NYSE:CMI
CPNG,NYSE:CPNG
MPC,NYSE:MPC
COR,NYSE:COR
TFC,NYSE:TFC
ABX.TO,TSX:ABX
FDX,NYSE:FDX
NXPI,NasdaqGS:NXPI
TRP.TO,TSX:TRP
GM,NYSE:GM
FCX,NYSE:FCX
VCIT,NasdaqGM:VCIT
AXON,NasdaqGS:AXON
CMG,NYSE:CMG
LHX,NYSE:LHX
VT,ARCA:VT
ALL,NYSE:ALL
BDX,NYSE:BDX
O,NYSE:O
FAST,NasdaqGS:FAST
MET,NYSE:MET
MFC.TO,TSX:MFC
ROP,NasdaqGS:ROP
STX,NasdaqGS:STX
XLF,ARCA:XLF
PSX,NYSE:PSX
QUAL,BATS:QUAL
DDOG,NasdaqGS:DDOG
SCHF,ARCA:SCHF
D,NYSE:D
DHI,NYSE:DHI
CVNA,NYSE:CVNA
PCAR,NasdaqGS:PCAR
PSA,NYSE:PSA
SGOV,ARCA:SGOV
SLB,NYSE:SLB
SCHG,ARCA:SCHG
LNG,NYSE:LNG
IXUS,NasdaqGM:IXUS
CARR,NYSE:CARR
IDXX,NasdaqGS:IDXX
ATD.TO,TSX:ATD
F,NYSE:F
NDAQ,NasdaqGS:NDAQ
SU.TO,TSX:SU
RKT,NYSE:RKT
EA,NasdaqGS:EA
VLO,NYSE:VLO
WPM.TO,TSX:WPM
ROST,NasdaqGS:ROST
GRMN,NYSE:GRMN
TLT,NasdaqGM:TLT
VEEV,NYSE:VEEV
ZS,NasdaqGS:ZS
BKR,NasdaqGS:BKR
TTWO,NasdaqGS:TTWO
XEL,NasdaqGS:XEL
XYZ,NYSE:XYZ
WBD,NasdaqGS:WBD
L.TO,TSX:L
AMP,NYSE:AMP
OKE,NYSE:OKE
EXC,NasdaqGS:EXC
IMO.TO,TSX:IMO
CBRE,NYSE:CBRE
GWW,NYSE:GWW
WDC,NasdaqGS:WDC
FERG,NYSE:FERG
IWR,ARCA:IWR
EW,NYSE:EW
FLUT,NYSE:FLUT
AIG,NYSE:AIG
PAYX,NasdaqGS:PAYX
WCN,NYSE:WCN
FICO,NYSE:FICO
OXY,NYSE:OXY
MPWR,NasdaqGS:MPWR
KR,NYSE:KR
IWB,ARCA:IWB
CPRT,NasdaqGS:CPRT
SPYG,ARCA:SPYG
MSCI,NYSE:MSCI
CTVA,NYSE:CTVA
FANG,NasdaqGS:FANG
ETR,NYSE:ETR
NA.TO,TSX:NA
FNV.TO,TSX:FNV
AME,NYSE:AME
FFH.TO,TSX:FFH
EBAY,NasdaqGS:EBAY
BIL,ARCA:BIL
IVE,ARCA:IVE
YUM,NYSE:YUM
MBB,NasdaqGM:MBB
CCI,NYSE:CCI
JEPI,ARCA:JEPI
PEG,NYSE:PEG
KMB,NasdaqGS:KMB
RMD,NYSE:RMD
TGT,NYSE:TGT
VBK,ARCA:VBK
VMC,NYSE:VMC
A,NYSE:A
UI,NYSE:UI
VTEB,ARCA:VTEB
DIA,ARCA:DIA
HSY,NYSE:HSY
TEAM,NasdaqGS:TEAM
VCSH,NasdaqGM:VCSH
SYY,NYSE:SYY
BSV,ARCA:BSV
ROK,NYSE:ROK
FMCC,OTCPK:FMCC
HEI,NYSE:HEI
MUB,ARCA:MUB
RDDT,NYSE:RDDT
DFAC,ARCA:DFAC
IEF,NasdaqGM:IEF
MLM,NYSE:MLM
CHTR,NasdaqGS:CHTR
GWO.TO,TSX:GWO
SCHB,ARCA:SCHB
HIG,NYSE:HIG
CCL,NYSE:CCL
DAL,NYSE:DAL
AU,NYSE:AU
CAH,NYSE:CAH
CCO.TO,TSX:CCO
PRU,NYSE:PRU
XYL,NYSE:XYL
WEC,NYSE:WEC
LYV,NYSE:LYV
DOL.TO,TSX:DOL
XLV,ARCA:XLV
OTIS,NYSE:OTIS
CSGP,NasdaqGS:CSGP
MCHP,NasdaqGS:MCHP
ED,NYSE:ED
IQV,NYSE:IQV
KDP,NasdaqGS:KDP
LVS,NYSE:LVS
EQT,NYSE:EQT
GEHC,NasdaqGS:GEHC
PCG,NYSE:PCG
TRGP,NYSE:TRGP
FIS,NYSE:FIS
VICI,NYSE:VICI
VRSK,NasdaqGS:VRSK
DGRO,ARCA:DGRO
IFC.TO,TSX:IFC
PHYM.F,OTCPK:PHYM.F
WAB,NYSE:WAB
JPST,ARCA:JPST
HUM,NYSE:HUM
VG,NYSE:VG
WTW,NasdaqGS:WTW
SLF.TO,TSX:SLF
VGIT,NasdaqGM:VGIT
ACGL,NasdaqGS:ACGL
CRCL,NYSE:CRCL
ARES,NYSE:ARES
DD,NYSE:DD
ALAB,NasdaqGS:ALAB
IR,NYSE:IR
RJF,NYSE:RJF
INSM,NasdaqGS:INSM
IUSB,NasdaqGM:IUSB
CTSH,NasdaqGS:CTSH
STT,NYSE:STT
LEN,NYSE:LEN
SMH,NasdaqGM:SMH
VONG,NasdaqGM:VONG
HPE,NYSE:HPE
NRG,NYSE:NRG
NBIS,NasdaqGS:NBIS
EL,NYSE:EL
NUE,NYSE:NUE
VTR,NYSE:VTR
IBKR,NasdaqGS:IBKR
BRO,NYSE:BRO
MGK,ARCA:MGK
JEPQ,NasdaqGM:JEPQ
IRM,NYSE:IRM
SPDW,ARCA:SPDW
SMCI,NasdaqGS:SMCI
UAL,NasdaqGS:UAL
KHC,NasdaqGS:KHC
CVE.TO,TSX:CVE
K.TO,TSX:K
MTB,NYSE:MTB
KVUE,NYSE:KVUE
EXR,NYSE:EXR
SOFI,NasdaqGS:SOFI
SPYV,ARCA:SPYV
KEYS,NYSE:KEYS
VGK,ARCA:VGK
ODFL,NasdaqGS:ODFL
TSCO,NasdaqGS:TSCO
FITB,NasdaqGS:FITB
ADM,NYSE:ADM
EFX,NYSE:EFX
EME,NYSE:EME
WRB,NYSE:WRB
DTE,NYSE:DTE
GOVT,BATS:GOVT
NTR.TO,TSX:NTR
FIX,NYSE:FIX
K,NYSE:K
PSTG,NYSE:PSTG
ROL,NYSE:ROL
AEE,NYSE:AEE
TQQQ,NasdaqGM:TQQQ
LQD,ARCA:LQD
AWK,NYSE:AWK
OEF,ARCA:OEF
TDY,NYSE:TDY
BR,NYSE:BR
ATO,NYSE:ATO
